,IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban
1452,305203315_717cab46da_115_65367662@N00.jpg,65367662@N00,50.455235,30.519655,2,11,230,8.662292331040877e-06,0.0001649491347766,0.999826406769895
1461,305950743_2fc35f549b_108_14491548@N00.jpg,14491548@N00,59.936784,30.302524,2,14,105,0.0426773614207363,0.4560214617687528,0.5013010823267763
1464,306434963_831a0feca5_101_14491548@N00.jpg,14491548@N00,59.949337,30.313339,0,1,121,0.9409272720756404,0.0015428219980258,0.0575298566231854
1515,312226565_b4ef600938_100_65367662@N00.jpg,65367662@N00,49.58907,34.556637,2,10,257,0.2320764078106094,0.0464392810672507,0.7214843234141881
1519,312323211_66bab4f84a_102_65367662@N00.jpg,65367662@N00,49.475876,34.380257,2,14,138,0.0007568342347568,0.2244040063092143,0.7748391270176853
1626,329628192_642639b46a_149_93455345@N00.jpg,93455345@N00,49.843296,24.026412,0,0,47,0.5386890232767598,0.001363427376944,0.4599475658454395
1642,334389684_dae184d0db_138_65367662@N00.jpg,65367662@N00,49.475876,34.380257,1,8,359,0.0026837716371387,0.99363393951149,0.003682328595891
2152,415786456_739883cafb_147_7132415@N03.jpg,7132415@N03,59.940567,30.320892,2,11,252,0.0001074979066553,0.0161659723355391,0.9837266014199262
2153,415786905_a277876dbb_170_7132415@N03.jpg,7132415@N03,59.940567,30.320892,2,11,230,7.772875804645807e-05,0.0022409009914952,0.9976815634915596
2154,415792220_fe048f88d1_130_7132415@N03.jpg,7132415@N03,55.751849,37.621994,2,11,252,0.0008320740488017,0.0025011854683896,0.9966667262496004
2157,415861843_ad02dfce92_188_7132415@N03.jpg,7132415@N03,59.940567,30.320892,0,5,196,0.990261232550106,4.356829058105305e-05,0.0096951074999411
2298,451741697_1db5c5daa3_235_90168643@N00.jpg,90168643@N00,31.77298,35.224914,2,12,159,0.0001667585747182,0.0018948036891384,0.9979386295954412
2299,451742685_c54b98093a_248_90168643@N00.jpg,90168643@N00,31.77298,35.224914,2,11,230,6.981064315289554e-05,0.0050321852201691,0.9948980372908108
2404,483510032_1aa39298ae_196_90168643@N00.jpg,90168643@N00,31.77298,35.224914,2,11,226,0.0028480049887278,0.0179973833748103,0.9791546803665908
2406,483794926_ba696e52d8_201_90168643@N00.jpg,90168643@N00,31.77298,35.224914,0,2,331,0.5684353530095052,0.0060705073140923,0.4254940831957583
2461,494341167_98a4299863_195_62126383@N00.jpg,62126383@N00,32.347627,34.85361,1,6,243,0.000726942646825,0.5681921416049747,0.4310808917682873
2462,494539179_286f16c126_194_62126383@N00.jpg,62126383@N00,32.501871,34.892749,2,11,13,0.0602132015092742,0.0819795408313552,0.8578072320302255
2463,494541628_d95bd89475_190_62126383@N00.jpg,62126383@N00,32.501871,34.892749,1,6,49,0.0007002473928707,0.6307137120400057,0.3685859887837495
2464,494612871_db624a92e7_216_62126383@N00.jpg,62126383@N00,32.501871,34.892749,0,0,198,0.58073491247535,0.1335359976127961,0.2857290371449679
2507,499751900_1e49202d31_216_62126383@N00.jpg,62126383@N00,31.776683,35.23428,2,15,263,0.4215710295010044,0.0002546431179477,0.5781742185330643
2508,499752412_13b983eaf1_193_62126383@N00.jpg,62126383@N00,31.776829,35.233368,2,11,200,1.2456573852903665e-05,6.975681422771718e-05,0.9999176555724968
2509,499799081_d6e215e5b9_190_62126383@N00.jpg,62126383@N00,31.776683,35.23428,2,12,53,0.2429128314838635,0.0014002787667877,0.7556868219043622
2524,505259739_1320df4907_223_62126383@N00.jpg,62126383@N00,32.704327,35.302162,0,5,211,0.8969220792154715,0.0003039240583575,0.1027739680944108
2531,507853636_e19ef8e118_218_62126383@N00.jpg,62126383@N00,31.704145,35.219421,2,12,76,0.1917366284251329,0.2041927637119442,0.604070697255338
2535,508092310_ed7d7da28a_217_62126383@N00.jpg,62126383@N00,32.717471,35.301647,2,14,364,0.0008074222340692,0.4618852718103028,0.5373072522444584
2545,510985613_e2d8a6ffc8_210_62126383@N00.jpg,62126383@N00,31.77817,35.229763,2,10,278,0.4434698291671176,0.000578798048368,0.5559514222207724
2546,511011880_e037e14708_194_62126383@N00.jpg,62126383@N00,32.821758,35.180454,0,2,303,0.9921298143361524,0.0024477559531419,0.0054223720801829
2547,511218374_ffd511c10b_213_62126383@N00.jpg,62126383@N00,31.778015,35.235278,2,11,230,0.0003617117981793,0.0020245378892056,0.9976137629726692
2553,514155776_1e1d999aa9_194_62126383@N00.jpg,62126383@N00,32.501365,35.50249,2,11,292,0.003133321251215,0.3816300802619707,0.6152365998853213
2556,514246671_382722c992_204_62126383@N00.jpg,62126383@N00,32.501365,35.50249,1,6,187,0.1959206742587937,0.6661244230620014,0.1379550123664756
2557,514257521_596115c6fb_193_62126383@N00.jpg,62126383@N00,32.501365,35.50249,1,7,317,0.3248970937877971,0.3697097647493592,0.305393090370444
2826,72918630_92eae2820d_35_41894197861@N01.jpg,41894197861@N01,55.747888,37.632293,0,3,320,0.9959566550438764,0.0013394582871653,0.0027039233739953
2898,865659775_82c05d3878_1361_23707253@N00.jpg,23707253@N00,59.943684,30.305914,2,12,273,0.0017982248896935,0.0621369366384101,0.9360648369955696
2958,950136674_4b5aab6258_1394_97522422@N00.jpg,97522422@N00,50.434985,30.515556,2,10,257,0.286741384022628,0.0010383610458646,0.712220241277862
2965,955054254_dfe6d34d64_1315_97522422@N00.jpg,97522422@N00,51.276736,30.23652,1,8,150,5.989243313231363e-05,0.9704035085555952,0.0295366421868403
2970,959354055_bc102ce3fe_1372_97522422@N00.jpg,97522422@N00,51.276736,30.23652,2,15,8,0.0010832484900227,0.000357390809043,0.9985594192244632
2971,960188046_9e7673ee8d_1417_97522422@N00.jpg,97522422@N00,51.276736,30.23652,2,15,181,0.0044485209856333,0.0093150057129918,0.986236501515208
2972,960251886_d8b86a66ce_1325_97522422@N00.jpg,97522422@N00,51.276736,30.23652,2,12,7,7.828101848723901e-05,0.0621885214914403,0.9377330605254488
2989,985776966_be5cb76e0b_1239_23707253@N00.jpg,23707253@N00,59.939321,30.309991,2,15,4,0.06721120202441,0.0019099733681002,0.9308788423930424
