IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,candidate_0_gps,candidate_1_gps,candidate_2_gps,candidate_3_gps,candidate_4_gps,candidate_5_gps,candidate_6_gps,candidate_7_gps,candidate_8_gps,candidate_9_gps,candidate_10_gps,candidate_11_gps,candidate_12_gps,candidate_13_gps,candidate_14_gps,candidate_15_gps,candidate_16_gps,candidate_17_gps,candidate_18_gps,candidate_19_gps,reverse_0_gps,reverse_1_gps,reverse_2_gps,reverse_3_gps,reverse_4_gps,reverse_5_gps,reverse_6_gps,reverse_7_gps,reverse_8_gps,reverse_9_gps,reverse_10_gps,reverse_11_gps,reverse_12_gps,reverse_13_gps,reverse_14_gps,reverse_15_gps,reverse_16_gps,reverse_17_gps,reverse_18_gps,reverse_19_gps,rag_coordinates,rag_response
1023756068_20c3ffc329_1039_70323761@N00.jpg,70323761@N00,40.807694,-73.962262,2.0,14.0,364.0,0.0159130746743549,0.0089749497880653,0.975111924019192,"[41.508533, -83.147138]","[40.774592, -73.971064]","[40.818817, -73.942047]","[40.804661, -73.967975]","[38.897516, -77.0099]","[52.357288, 4.898389]","[42.359083, -71.089814]","[39.956925, -75.18249]","[51.522006, -0.12854]","[38.706665, -91.432998]","[40.777404, -73.948341]","[40.734836, -73.995151]","[38.463267, -75.692367]","[38.887917, -77.043299]","[30.267599, -97.74298]","[42.357743, -71.063282]","[40.731929, -73.989872]","[51.931717, 4.476091]","[39.950654, -75.151205]","[40.808839, -73.960239]","[51.7048, -4.311447]","[51.767231, -5.141172]","[51.7048, -4.311447]","[51.7048, -4.311447]","[52.006808, -3.618289]","[41.674807, -0.499362]","[51.7048, -4.311447]","[51.7048, -4.311447]","[51.7048, -4.311447]","[36.709026, -6.036815]","[52.19743, -4.070348]","[47.244512, 9.580271]","[52.021058, -4.841378]","[59.97052, -1.334581]","[66.416747, -22.673892]","[51.767231, -5.141172]","[51.7048, -4.311447]","[52.19743, -4.070348]","[52.19743, -4.070348]","[51.711242, -5.188271]",,
1029739337_ff06001d12_1361_7132415@N03.jpg,7132415@N03,-0.292509,-90.532493,1.0,7.0,306.0,0.0073751897578395,0.8696209751940369,0.1230038030320894,"[27.674293, -82.726836]","[32.901911, -114.474642]","[-33.716772, 151.285429]","[18.346819, -103.510945]","[-0.280642, -90.544509]","[36.955104, -122.026004]","[0.313967, -89.959144]","[37.87194, -122.313365]","[18.030811, -77.840795]","[-3.845799, -32.442798]","[37.097, -122.279998]","[37.501401, -122.482613]","[-0.296629, -91.032714]","[36.791432, -121.792995]","[-34.668793, -58.883285]","[55.710963, -5.822582]","[32.56385, -80.180969]","[20.840844, -90.40168]","[-23.149988, -44.691696]","[23.786915, -166.209068]","[46.171011, 9.872095]","[48.206188, 16.363849]","[41.674807, -0.499362]","[40.954492, -4.1082]","[41.569416, 2.258892]","[45.524735, 4.879914]","[49.263323, 4.026489]","[45.407892, 11.873205]","[50.259511, 19.021711]","[26.26843, 73.029876]","[31.244801, 121.444587]","[44.443615, 1.450216]","[31.244801, 121.444587]","[43.763163, 11.264215]","[47.504837, 19.050185]","[40.482625, -3.364273]","[42.671179, -2.028286]","[44.494257, 11.343187]","[37.868349, -4.776306]","[47.798508, 13.042553]",,
103385471_f54982a801_29_73293249@N00.jpg,73293249@N00,46.006873,7.279987,1.0,7.0,232.0,0.000328934720974,0.9230054553145236,0.0766656327236603,"[69.484281, 17.389297]","[47.046799, 13.265647]","[61.909785, 9.753799]","[49.231274, 20.011596]","[78.862623, 16.243286]","[77.273854, 14.765625]","[56.795426, -4.982986]","[68.02749, 13.307876]","[58.404095, -4.817934]","[69.17101, 20.522123]","[45.87749, 7.14519]","[78.199733, 15.590758]","[45.614998, 7.00859]","[60.219354, -149.482727]","[47.084641, 11.668483]","[46.813201, 8.22395]","[-41.732892, 145.925559]","[62.234354, 6.633682]","[60.348016, -149.622802]","[62.413352, -143.087825]","[22.19168, 84.5782]","[43.210094, -79.601515]","[33.391229, -111.876697]","[33.584039, -111.949434]","[38.579, -92.172667]","[53.234447, -0.539139]","[33.583877, -111.949661]","[33.381083, -111.757428]","[33.391229, -111.876697]","[-33.917473, 151.231269]","[30.529126, -97.626056]","[40.482625, -3.364273]","[41.37296, 2.173318]","[14.617617, 121.071474]","[42.341711, -71.085464]","[52.188194, -2.224302]","[33.624518, -111.924183]","[9.147299, 40.493049]","[40.817069, -74.210956]","[33.760105, -84.398753]",,
103398485_db45794d93_36_73293249@N00.jpg,73293249@N00,46.21488,7.049309,1.0,6.0,305.0,7.460072349618763e-05,0.5837487230224809,0.4161766379567807,"[49.686511, -125.616302]","[47.172911, 10.332298]","[42.776629, -81.165962]","[51.501369, -116.562023]","[47.388703, 12.636165]","[49.165205, -114.011821]","[47.407075, 11.044694]","[45.905419, 7.857112]","[42.373668, -76.873912]","[37.901677, -122.716898]","[52.591465, -9.875107]","[-43.208679, 170.527038]","[45.894712, 6.979193]","[51.075441, -115.146082]","[42.819454, 0.135269]","[-4.18892, 137.077789]","[51.501369, -116.562023]","[42.562326, 1.612114]","[60.88603, 7.225571]","[43.085783, -2.241983]","[49.263323, 4.026489]","[53.234447, -0.539139]","[52.630947, 1.302669]","[51.455333, -2.603833]","[52.398969, 0.262336]","[51.9898, -2.1582]","[54.773873, -1.576709]","[52.41058, -1.508646]","[53.235632, -0.52185]","[52.953279, -1.15115]","[53.234547, -0.539735]","[53.739041, -0.336241]","[51.452059, -2.599393]","[52.572613, -0.241216]","[29.389794, 48.003065]","[53.23438, -0.538689]","[53.234266, -0.536162]","[53.234913, -0.54099]","[52.953088, -1.150099]","[53.23465, -0.540722]",,
103404365_f852148f5b_34_73293249@N00.jpg,73293249@N00,46.080783,7.399454,2.0,15.0,132.0,0.0258845731241308,0.0010952501105023,0.9730201618399974,"[43.801146, 142.346935]","[8.626593, -71.148834]","[43.594068, 1.416893]","[37.724641, -122.48493]","[42.131203, 2.986307]","[-34.921478, 138.595747]","[39.461167, -0.33394]","[56.948063, 23.509712]","[51.448934, 5.457334]","[4.638194, -74.0839]","[52.49255, 4.800425]","[39.554353, 2.732849]","[39.214519, 9.110489]","[41.035729, 28.992233]","[53.528013, 9.999103]","[36.713959, -4.433519]","[45.771377, 4.863488]","[27.269664, -82.555754]","[-33.039032, -71.642017]","[48.574307, 7.763278]","[54.389557, -1.94208]","[53.986275, -1.886644]","[39.794886, -86.235036]","[53.981342, -1.889144]","[54.257879, -1.118459]","[51.711242, -5.188271]","[31.244801, 121.444587]","[54.491629, -0.616478]","[54.519816, -1.127217]","[34.145518, -83.812755]","[53.339906, -1.77618]","[39.792314, -86.235294]","[54.577136, -3.168697]","[54.773124, -1.580196]","[54.559409, -0.789449]","[55.418091, -1.707337]","[39.790269, -86.238341]","[7.957407, 80.759124]","[39.794886, -86.235036]","[54.429516, -2.981071]",,
103433117_266c57c2e6_29_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1.0,7.0,73.0,6.061938011425738e-05,0.9905226579893558,0.0094167819743131,"[46.470601, 11.623621]","[46.623701, 12.299613]","[47.32975, 11.259956]","[46.527441, 12.029183]","[44.173955, 6.697883]","[46.435313, 11.665763]","[46.378019, 11.577111]","[44.392579, 7.046012]","[44.242555, 6.711788]","[46.592254, 12.014923]","[44.495158, 6.921644]","[39.989944, 20.771198]","[46.627631, 12.342967]","[46.321741, 11.500024]","[46.484387, 9.716248]","[46.6329, 12.307619]","[42.692908, 0.639953]","[42.45747, 13.663215]","[46.5987, 11.761575]","[46.612463, 12.296475]","[44.933261, -123.043807]","[40.774333, -73.7705]","[40.6725, -74.018666]","[36.071536, -94.175003]","[33.391229, -111.876697]","[42.341711, -71.085464]","[22.724829, 75.880209]","[45.53375, -122.691927]","[33.584039, -111.949434]","[41.591056, -93.621474]","[22.19168, 84.5782]","[35.515927, -97.627689]","[41.591056, -93.621474]","[42.345544, -71.159179]","[39.705073, -75.120391]","[38.922453, -77.036232]","[40.817069, -74.210956]","[39.49133, -74.531678]","[33.381083, -111.757428]","[33.503506, -111.927702]",,
103433770_9b651cfd20_32_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1.0,7.0,30.0,0.0820246114215557,0.831006660909793,0.0869687034854536,"[38.112409, 12.679424]","[42.979924, -1.006965]","[42.42252, 18.799723]","[42.909888, 0.178871]","[30.980479, 78.930416]","[46.030044, 6.9765]","[42.802076, 1.656618]","[-17.096002, -70.873146]","[42.388346, 2.291679]","[43.944878, 40.438442]","[46.881432, 8.882875]","[44.366201, 6.788392]","[43.167456, -4.85356]","[42.365647, 70.60913]","[43.416035, -108.175549]","[42.742221, 0.138874]","[42.632822, 0.034675]","[43.266331, -4.630479]","[46.150821, 7.099914]","[44.387427, 7.063007]","[44.979598, -93.276221]","[44.979598, -93.276221]","[44.933261, -123.043807]","[44.955323, -93.102285]","[-33.844613, 151.062548]","[42.591169, -70.660295]","[22.19168, 84.5782]","[33.760105, -84.398753]","[44.973845, -93.257982]","[33.760105, -84.398753]","[44.875751, -98.51757]","[21.460088, -158.007792]","[45.057213, -92.804689]","[47.043011, -122.90166]","[44.973845, -93.257982]","[36.516034, -82.256913]","[45.53375, -122.691927]","[-15.797229, -47.866111]","[42.278078, -71.758661]","[41.732235, -72.219228]",,
103442236_09c8d53dbc_37_73293249@N00.jpg,73293249@N00,51.501821,-0.140655,2.0,11.0,84.0,2.8096916501851865e-05,0.0027554163005714,0.997216345340494,"[51.508101, -0.07626]","[51.505, -0.074333]","[51.506672, -0.077902]","[51.507861, -0.076904]","[51.507168, -0.07744]","[51.508114, -0.075949]","[51.504895, -0.07787]","[51.508007, -0.076904]","[51.481543, -0.169]","[51.505804, -0.080651]","[51.50632, -0.12714]","[51.512161, -0.019226]","[51.549751, 0.019226]","[51.505691, -0.08052]","[51.507924, -0.076271]","[51.509704, -0.076217]","[51.508528, -0.076646]","[51.508114, -0.075949]","[51.515579, -0.140075]","[51.50531, -0.078856]","[44.875751, -98.51757]","[6.29219, -75.557241]","[40.807459, -0.845153]","[39.675579, 15.821399]","[44.913558, -97.942222]","[26.021643, -98.264356]","[19.324265, -98.762025]","[13.684017, -89.20186]","[10.583959, -83.526168]","[43.174739, -101.731811]","[41.26046, 13.031533]","[9.157705, -83.742459]","[4.521495, -74.540519]","[40.807345, -0.844745]","[40.809667, -0.842299]","[-23.93288, -47.066989]","[18.443217, -66.757392]","[22.838409, 121.187825]","[18.437489, -69.009597]","[-3.67378, -79.652252]",,
103457638_224c119b11_30_73293249@N00.jpg,73293249@N00,45.999982,7.298584,1.0,6.0,234.0,0.0002048433949646,0.9043055024326064,0.095489665329417,"[46.341713, 9.925289]","[46.028614, 7.730855]","[47.079532, 12.688865]","[46.490356, 10.467052]","[45.93205, 6.917695]","[46.351785, 9.999961]","[45.835861, 6.86211]","[45.878775, 6.905937]","[61.55832, -147.457809]","[43.351146, 42.448425]","[42.521079, 74.533996]","[46.732801, 8.43029]","[46.385662, 9.883575]","[46.013091, 7.423963]","[45.884392, 7.013568]","[-49.346598, -72.235107]","[47.07123, 11.209916]","[46.424369, 10.665493]","[46.418215, 7.970838]","[45.923692, 6.841735]","[33.391229, -111.876697]","[33.391229, -111.876697]","[43.571559, -100.749977]","[30.529126, -97.626056]","[35.515927, -97.627689]","[33.503506, -111.927702]","[33.584039, -111.949434]","[38.156069, -121.691298]","[36.071536, -94.175003]","[38.579, -92.172667]","[41.277666, -96.0065]","[38.158687, -96.167192]","[33.760105, -84.398753]","[40.870448, -124.086402]","[37.840258, -122.314653]","[33.760105, -84.398753]","[21.402008, -157.993337]","[42.341711, -71.085464]","[21.460088, -158.007792]","[33.381083, -111.757428]",,
103465274_3e879729e0_33_73293249@N00.jpg,73293249@N00,46.08035,7.209918,2.0,12.0,294.0,0.0050516734091967,0.0694753424051022,0.9254729428576636,"[45.612205, 13.823119]","[48.11272, 11.719043]","[44.833352, 11.294975]","[41.378531, 2.173554]","[44.513645, 11.346817]","[48.293758, 0.008926]","[46.074086, 6.712303]","[46.404486, 7.787675]","[46.008077, 8.858327]","[46.760532, 15.610284]","[46.430285, 11.629028]","[48.293758, 0.008926]","[46.760532, 15.610284]","[46.463758, 11.862144]","[48.293758, 0.008926]","[45.786589, 4.714175]","[45.786589, 4.714175]","[45.936765, 9.258985]","[42.420419, -3.188545]","[45.930856, 7.865352]","[40.809062, -96.698398]","[32.751166, -97.083334]","[44.984349, -93.275299]","[32.707334, -117.157055]","[38.874722, -77.008334]","[38.872842, -77.007594]","[34.073181, -118.24042]","[38.873611, -77.008056]","[35.991366, -78.903077]","[34.073332, -118.23968]","[33.736001, -84.388958]","[38.872224, -77.007578]","[39.905942, -75.166558]","[47.591177, -122.334034]","[38.872333, -77.0075]","[38.872717, -77.007911]","[33.445103, -112.066737]","[34.07399, -118.23982]","[33.734725, -84.389891]","[38.872333, -77.0075]",,
1034783376_9e3db4b81a_1016_70323761@N00.jpg,70323761@N00,40.820751,-73.94892,2.0,15.0,77.0,0.003225387381498,0.0659655842178494,0.930809045210907,"[38.047955, -84.500999]","[39.954753, -75.165882]","[38.899422, -77.036708]","[41.527038, -88.082821]","[45.498624, -73.569688]","[40.673437, -73.969123]","[40.742574, -73.987662]","[42.348704, -71.06259]","[39.819216, -77.244186]","[42.355586, -71.066503]","[38.03038, -78.48003]","[41.785205, -71.416529]","[38.893788, -77.022238]","[40.452139, -80.009801]","[42.353758, -71.071131]","[40.086625, -75.444617]","[42.920299, -78.88175]","[43.154056, -77.601971]","[42.413405, -90.426943]","[42.359431, -71.05854]","[41.674807, -0.499362]","[51.7048, -4.311447]","[26.028208, 50.51373]","[41.467235, -5.397205]","[28.091572, -17.340137]","[57.346347, -1.934409]","[42.544733, -2.159843]","[41.674807, -0.499362]","[36.704554, -6.032567]","[36.708648, -6.032996]","[51.7048, -4.311447]","[51.767231, -5.141172]","[51.7048, -4.311447]","[51.711242, -5.188271]","[26.032, 50.512016]","[25.205388, 121.690343]","[41.703522, -0.591201]","[52.19743, -4.070348]","[51.7048, -4.311447]","[55.190383, -6.709127]",,
